Verb,conjugation,subject,option,verb_translation,subject_translation,option_translation,verb_base,subject_base,option_base
circoncire, circonc, 1-pl, indicatif-futur, circumsize, we, indicatif futur,circoncire,,
circoncire, circonc, 2-pl, indicatif-futur, circumsize, you all, indicatif futur,circoncire,,
circoncire, circonc, 3-pl-m, indicatif-futur, circumsize, they (m), indicatif futur,circoncire,,
circoncire, circonc, 3-pl-f, indicatif-futur, circumsize, they (f), indicatif futur,circoncire,,
circoncire, circonc, 1-sg, indicatif-imparfait, circumsize, i, indicatif imparfait,circoncire,,
circoncire, circonc, 2-sg, indicatif-imparfait, circumsize, you, indicatif imparfait,circoncire,,
circoncire, circonc, 3-sg-m, indicatif-imparfait, circumsize, he, indicatif imparfait,circoncire,,
circoncire, circonc, 3-sg-f, indicatif-imparfait, circumsize, she, indicatif imparfait,circoncire,,
circoncire, circonc, 3-sg-n, indicatif-imparfait, circumsize, it, indicatif imparfait,circoncire,,
circoncire, circonc, 1-pl, indicatif-imparfait, circumsize, we, indicatif imparfait,circoncire,,
circoncire, circonc, 2-pl, indicatif-imparfait, circumsize, you all, indicatif imparfait,circoncire,,
circoncire, circonc, 3-pl-m, indicatif-imparfait, circumsize, they (m), indicatif imparfait,circoncire,,
circoncire, circonc, 3-pl-f, indicatif-imparfait, circumsize, they (f), indicatif imparfait,circoncire,,
circoncire, circonc, 1-sg, indicatif-passe-simple, circumsize, i, indicatif passe simple,circoncire,,
circoncire, circonc, 2-sg, indicatif-passe-simple, circumsize, you, indicatif passe simple,circoncire,,
circoncire, circonc, 3-sg-m, indicatif-passe-simple, circumsize, he, indicatif passe simple,circoncire,,
circoncire, circonc, 3-sg-f, indicatif-passe-simple, circumsize, she, indicatif passe simple,circoncire,,
circoncire, circonc, 3-sg-n, indicatif-passe-simple, circumsize, it, indicatif passe simple,circoncire,,
circoncire, circonc, 1-pl, indicatif-passe-simple, circumsize, we, indicatif passe simple,circoncire,,
circoncire, circonc, 2-pl, indicatif-passe-simple, circumsize, you all, indicatif passe simple,circoncire,,
circoncire, circonc, 3-pl-m, indicatif-passe-simple, circumsize, they (m), indicatif passe simple,circoncire,,
circoncire, circonc, 3-pl-f, indicatif-passe-simple, circumsize, they (f), indicatif passe simple,circoncire,,
circoncire, circonc, 1-sg, indicatif-present, circumsize, i, indicatif present,circoncire,,
circoncire, circonc, 2-sg, indicatif-present, circumsize, you, indicatif present,circoncire,,
circoncire, circonc, 3-sg-m, indicatif-present, circumsize, he, indicatif present,circoncire,,
circoncire, circonc, 3-sg-f, indicatif-present, circumsize, she, indicatif present,circoncire,,
circoncire, circonc, 3-sg-n, indicatif-present, circumsize, it, indicatif present,circoncire,,
circoncire, circonc, 1-pl, indicatif-present, circumsize, we, indicatif present,circoncire,,
circoncire, circonc, 2-pl, indicatif-present, circumsize, you all, indicatif present,circoncire,,
circoncire, circonc, 3-pl-m, indicatif-present, circumsize, they (m), indicatif present,circoncire,,
circoncire, circonc, 3-pl-f, indicatif-present, circumsize, they (f), indicatif present,circoncire,,
circoncire, circonc, 3-sg-m, participe-passe, circumsize, he, participe passe,circoncire,,
circoncire, circonc, 3-pl-m, participe-passe, circumsize, they (m), participe passe,circoncire,,
circoncire, circonc, 3-sg-f, participe-passe, circumsize, she, participe passe,circoncire,,
circoncire, circonc, 3-pl-f, participe-passe, circumsize, they (f), participe passe,circoncire,,
circoncire, circonc, 1-sg, subjonctif-imparfait, circumsize, i, subjonctif imparfait,circoncire,,
circoncire, circonc, 2-sg, subjonctif-imparfait, circumsize, you, subjonctif imparfait,circoncire,,
circoncire, circonc, 3-sg-m, subjonctif-imparfait, circumsize, he, subjonctif imparfait,circoncire,,
circoncire, circonc, 3-sg-f, subjonctif-imparfait, circumsize, she, subjonctif imparfait,circoncire,,
circoncire, circonc, 3-sg-n, subjonctif-imparfait, circumsize, it, subjonctif imparfait,circoncire,,
circoncire, circonc, 1-pl, subjonctif-imparfait, circumsize, we, subjonctif imparfait,circoncire,,
circoncire, circonc, 2-pl, subjonctif-imparfait, circumsize, you all, subjonctif imparfait,circoncire,,
circoncire, circonc, 3-pl-m, subjonctif-imparfait, circumsize, they (m), subjonctif imparfait,circoncire,,
circoncire, circonc, 3-pl-f, subjonctif-imparfait, circumsize, they (f), subjonctif imparfait,circoncire,,
circoncire, circonc, 1-sg, subjonctif-present, circumsize, i, subjonctif present,circoncire,,
circoncire, circonc, 2-sg, subjonctif-present, circumsize, you, subjonctif present,circoncire,,
circoncire, circonc, 3-sg-m, subjonctif-present, circumsize, he, subjonctif present,circoncire,,
circoncire, circonc, 3-sg-f, subjonctif-present, circumsize, she, subjonctif present,circoncire,,
circoncire, circonc, 3-sg-n, subjonctif-present, circumsize, it, subjonctif present,circoncire,,
circoncire, circonc, 1-pl, subjonctif-present, circumsize, we, subjonctif present,circoncire,,
circoncire, circonc, 2-pl, subjonctif-present, circumsize, you all, subjonctif present,circoncire,,
circoncire, circonc, 3-pl-m, subjonctif-present, circumsize, they (m), subjonctif present,circoncire,,
circoncire, circonc, 3-pl-f, subjonctif-present, circumsize, they (f), subjonctif present,circoncire,,
clore, cl, 1-sg, conditionnel-present, close, i, conditionnel present,clore,,
clore, cl, 2-sg, conditionnel-present, close, you, conditionnel present,clore,,
clore, cl, 3-sg-m, conditionnel-present, close, he, conditionnel present,clore,,
clore, cl, 3-sg-f, conditionnel-present, close, she, conditionnel present,clore,,
clore, cl, 3-sg-n, conditionnel-present, close, it, conditionnel present,clore,,
clore, cl, 1-pl, conditionnel-present, close, we, conditionnel present,clore,,
clore, cl, 2-pl, conditionnel-present, close, you all, conditionnel present,clore,,
clore, cl, 3-pl-m, conditionnel-present, close, they (m), conditionnel present,clore,,
clore, cl, 3-pl-f, conditionnel-present, close, they (f), conditionnel present,clore,,
clore, cl, 1-sg, imperatif-present, close, i, imperatif present,clore,,
clore, cl, 2-sg, imperatif-present, close, you, imperatif present,clore,,
clore, cl, 3-sg-m, imperatif-present, close, he, imperatif present,clore,,
clore, cl, 3-sg-f, imperatif-present, close, she, imperatif present,clore,,
clore, cl, 3-sg-n, imperatif-present, close, it, imperatif present,clore,,
clore, cl, 1-sg, indicatif-futur, close, i, indicatif futur,clore,,
clore, cl, 2-sg, indicatif-futur, close, you, indicatif futur,clore,,
clore, cl, 3-sg-m, indicatif-futur, close, he, indicatif futur,clore,,
clore, cl, 3-sg-f, indicatif-futur, close, she, indicatif futur,clore,,
clore, cl, 3-sg-n, indicatif-futur, close, it, indicatif futur,clore,,
clore, cl, 1-pl, indicatif-futur, close, we, indicatif futur,clore,,
clore, cl, 2-pl, indicatif-futur, close, you all, indicatif futur,clore,,
clore, cl, 3-pl-m, indicatif-futur, close, they (m), indicatif futur,clore,,
clore, cl, 3-pl-f, indicatif-futur, close, they (f), indicatif futur,clore,,
clore, cl, 1-sg, indicatif-imparfait, close, i, indicatif imparfait,clore,,
clore, cl, 2-sg, indicatif-imparfait, close, you, indicatif imparfait,clore,,
clore, cl, 3-sg-m, indicatif-imparfait, close, he, indicatif imparfait,clore,,
clore, cl, 3-sg-f, indicatif-imparfait, close, she, indicatif imparfait,clore,,
clore, cl, 3-sg-n, indicatif-imparfait, close, it, indicatif imparfait,clore,,
clore, cl, 1-pl, indicatif-imparfait, close, we, indicatif imparfait,clore,,
clore, cl, 2-pl, indicatif-imparfait, close, you all, indicatif imparfait,clore,,
clore, cl, 3-pl-m, indicatif-imparfait, close, they (m), indicatif imparfait,clore,,
clore, cl, 3-pl-f, indicatif-imparfait, close, they (f), indicatif imparfait,clore,,
clore, cl, 1-sg, indicatif-passe-simple, close, i, indicatif passe simple,clore,,
clore, cl, 2-sg, indicatif-passe-simple, close, you, indicatif passe simple,clore,,
clore, cl, 3-sg-m, indicatif-passe-simple, close, he, indicatif passe simple,clore,,
clore, cl, 3-sg-f, indicatif-passe-simple, close, she, indicatif passe simple,clore,,
clore, cl, 3-sg-n, indicatif-passe-simple, close, it, indicatif passe simple,clore,,
clore, cl, 1-pl, indicatif-passe-simple, close, we, indicatif passe simple,clore,,
clore, cl, 2-pl, indicatif-passe-simple, close, you all, indicatif passe simple,clore,,
clore, cl, 3-pl-m, indicatif-passe-simple, close, they (m), indicatif passe simple,clore,,
clore, cl, 3-pl-f, indicatif-passe-simple, close, they (f), indicatif passe simple,clore,,
clore, cl, 1-sg, indicatif-present, close, i, indicatif present,clore,,
clore, cl, 2-sg, indicatif-present, close, you, indicatif present,clore,,
clore, cl, 3-sg-m, indicatif-present, close, he, indicatif present,clore,,
clore, cl, 3-sg-f, indicatif-present, close, she, indicatif present,clore,,
clore, cl, 3-sg-n, indicatif-present, close, it, indicatif present,clore,,
clore, cl, 1-pl, indicatif-present, close, we, indicatif present,clore,,
clore, cl, 2-pl, indicatif-present, close, you all, indicatif present,clore,,
clore, cl, 3-pl-m, indicatif-present, close, they (m), indicatif present,clore,,
clore, cl, 3-pl-f, indicatif-present, close, they (f), indicatif present,clore,,
clore, cl, 3-sg-m, participe-passe, close, he, participe passe,clore,,
clore, cl, 3-pl-m, participe-passe, close, they (m), participe passe,clore,,
clore, cl, 3-sg-f, participe-passe, close, she, participe passe,clore,,
clore, cl, 3-pl-f, participe-passe, close, they (f), participe passe,clore,,
clore, cl, 1-sg, subjonctif-imparfait, close, i, subjonctif imparfait,clore,,
clore, cl, 2-sg, subjonctif-imparfait, close, you, subjonctif imparfait,clore,,
clore, cl, 3-sg-m, subjonctif-imparfait, close, he, subjonctif imparfait,clore,,
clore, cl, 3-sg-f, subjonctif-imparfait, close, she, subjonctif imparfait,clore,,
clore, cl, 3-sg-n, subjonctif-imparfait, close, it, subjonctif imparfait,clore,,
clore, cl, 1-pl, subjonctif-imparfait, close, we, subjonctif imparfait,clore,,
clore, cl, 2-pl, subjonctif-imparfait, close, you all, subjonctif imparfait,clore,,
clore, cl, 3-pl-m, subjonctif-imparfait, close, they (m), subjonctif imparfait,clore,,
clore, cl, 3-pl-f, subjonctif-imparfait, close, they (f), subjonctif imparfait,clore,,
clore, cl, 1-sg, subjonctif-present, close, i, subjonctif present,clore,,
clore, cl, 2-sg, subjonctif-present, close, you, subjonctif present,clore,,
clore, cl, 3-sg-m, subjonctif-present, close, he, subjonctif present,clore,,
clore, cl, 3-sg-f, subjonctif-present, close, she, subjonctif present,clore,,
clore, cl, 3-sg-n, subjonctif-present, close, it, subjonctif present,clore,,
clore, cl, 1-pl, subjonctif-present, close, we, subjonctif present,clore,,
clore, cl, 2-pl, subjonctif-present, close, you all, subjonctif present,clore,,
clore, cl, 3-pl-m, subjonctif-present, close, they (m), subjonctif present,clore,,
clore, cl, 3-pl-f, subjonctif-present, close, they (f), subjonctif present,clore,,
conclure, concl, 1-sg, conditionnel-present, conclude, i, conditionnel present,conclure,,
conclure, concl, 2-sg, conditionnel-present, conclude, you, conditionnel present,conclure,,
conclure, concl, 3-sg-m, conditionnel-present, conclude, he, conditionnel present,conclure,,
conclure, concl, 3-sg-f, conditionnel-present, conclude, she, conditionnel present,conclure,,
conclure, concl, 3-sg-n, conditionnel-present, conclude, it, conditionnel present,conclure,,
conclure, concl, 1-pl, conditionnel-present, conclude, we, conditionnel present,conclure,,
conclure, concl, 2-pl, conditionnel-present, conclude, you all, conditionnel present,conclure,,
conclure, concl, 3-pl-m, conditionnel-present, conclude, they (m), conditionnel present,conclure,,
conclure, concl, 3-pl-f, conditionnel-present, conclude, they (f), conditionnel present,conclure,,
conclure, concl, 1-sg, imperatif-present, conclude, i, imperatif present,conclure,,
conclure, concl, 2-sg, imperatif-present, conclude, you, imperatif present,conclure,,
conclure, concl, 3-sg-m, imperatif-present, conclude, he, imperatif present,conclure,,
conclure, concl, 3-sg-f, imperatif-present, conclude, she, imperatif present,conclure,,
conclure, concl, 3-sg-n, imperatif-present, conclude, it, imperatif present,conclure,,
conclure, concl, 1-sg, indicatif-futur, conclude, i, indicatif futur,conclure,,
conclure, concl, 2-sg, indicatif-futur, conclude, you, indicatif futur,conclure,,
conclure, concl, 3-sg-m, indicatif-futur, conclude, he, indicatif futur,conclure,,
conclure, concl, 3-sg-f, indicatif-futur, conclude, she, indicatif futur,conclure,,
conclure, concl, 3-sg-n, indicatif-futur, conclude, it, indicatif futur,conclure,,
conclure, concl, 1-pl, indicatif-futur, conclude, we, indicatif futur,conclure,,
conclure, concl, 2-pl, indicatif-futur, conclude, you all, indicatif futur,conclure,,
conclure, concl, 3-pl-m, indicatif-futur, conclude, they (m), indicatif futur,conclure,,
conclure, concl, 3-pl-f, indicatif-futur, conclude, they (f), indicatif futur,conclure,,
conclure, concl, 1-sg, indicatif-imparfait, conclude, i, indicatif imparfait,conclure,,
conclure, concl, 2-sg, indicatif-imparfait, conclude, you, indicatif imparfait,conclure,,
conclure, concl, 3-sg-m, indicatif-imparfait, conclude, he, indicatif imparfait,conclure,,
conclure, concl, 3-sg-f, indicatif-imparfait, conclude, she, indicatif imparfait,conclure,,
conclure, concl, 3-sg-n, indicatif-imparfait, conclude, it, indicatif imparfait,conclure,,
conclure, concl, 1-pl, indicatif-imparfait, conclude, we, indicatif imparfait,conclure,,
conclure, concl, 2-pl, indicatif-imparfait, conclude, you all, indicatif imparfait,conclure,,
conclure, concl, 3-pl-m, indicatif-imparfait, conclude, they (m), indicatif imparfait,conclure,,
conclure, concl, 3-pl-f, indicatif-imparfait, conclude, they (f), indicatif imparfait,conclure,,
conclure, concl, 1-sg, indicatif-passe-simple, conclude, i, indicatif passe simple,conclure,,
conclure, concl, 2-sg, indicatif-passe-simple, conclude, you, indicatif passe simple,conclure,,
conclure, concl, 3-sg-m, indicatif-passe-simple, conclude, he, indicatif passe simple,conclure,,
conclure, concl, 3-sg-f, indicatif-passe-simple, conclude, she, indicatif passe simple,conclure,,
conclure, concl, 3-sg-n, indicatif-passe-simple, conclude, it, indicatif passe simple,conclure,,
conclure, concl, 1-pl, indicatif-passe-simple, conclude, we, indicatif passe simple,conclure,,
conclure, concl, 2-pl, indicatif-passe-simple, conclude, you all, indicatif passe simple,conclure,,
conclure, concl, 3-pl-m, indicatif-passe-simple, conclude, they (m), indicatif passe simple,conclure,,
conclure, concl, 3-pl-f, indicatif-passe-simple, conclude, they (f), indicatif passe simple,conclure,,
conclure, concl, 1-sg, indicatif-present, conclude, i, indicatif present,conclure,,
conclure, concl, 2-sg, indicatif-present, conclude, you, indicatif present,conclure,,
conclure, concl, 3-sg-m, indicatif-present, conclude, he, indicatif present,conclure,,
conclure, concl, 3-sg-f, indicatif-present, conclude, she, indicatif present,conclure,,
conclure, concl, 3-sg-n, indicatif-present, conclude, it, indicatif present,conclure,,
conclure, concl, 1-pl, indicatif-present, conclude, we, indicatif present,conclure,,
conclure, concl, 2-pl, indicatif-present, conclude, you all, indicatif present,conclure,,
conclure, concl, 3-pl-m, indicatif-present, conclude, they (m), indicatif present,conclure,,
conclure, concl, 3-pl-f, indicatif-present, conclude, they (f), indicatif present,conclure,,
conclure, concl, 3-sg-m, participe-passe, conclude, he, participe passe,conclure,,
conclure, concl, 3-pl-m, participe-passe, conclude, they (m), participe passe,conclure,,
conclure, concl, 3-sg-f, participe-passe, conclude, she, participe passe,conclure,,
conclure, concl, 3-pl-f, participe-passe, conclude, they (f), participe passe,conclure,,
conclure, concl, 1-sg, subjonctif-imparfait, conclude, i, subjonctif imparfait,conclure,,
conclure, concl, 2-sg, subjonctif-imparfait, conclude, you, subjonctif imparfait,conclure,,
conclure, concl, 3-sg-m, subjonctif-imparfait, conclude, he, subjonctif imparfait,conclure,,
conclure, concl, 3-sg-f, subjonctif-imparfait, conclude, she, subjonctif imparfait,conclure,,
conclure, concl, 3-sg-n, subjonctif-imparfait, conclude, it, subjonctif imparfait,conclure,,
conclure, concl, 1-pl, subjonctif-imparfait, conclude, we, subjonctif imparfait,conclure,,
conclure, concl, 2-pl, subjonctif-imparfait, conclude, you all, subjonctif imparfait,conclure,,
conclure, concl, 3-pl-m, subjonctif-imparfait, conclude, they (m), subjonctif imparfait,conclure,,
conclure, concl, 3-pl-f, subjonctif-imparfait, conclude, they (f), subjonctif imparfait,conclure,,
conclure, concl, 1-sg, subjonctif-present, conclude, i, subjonctif present,conclure,,
conclure, concl, 2-sg, subjonctif-present, conclude, you, subjonctif present,conclure,,
conclure, concl, 3-sg-m, subjonctif-present, conclude, he, subjonctif present,conclure,,
conclure, concl, 3-sg-f, subjonctif-present, conclude, she, subjonctif present,conclure,,
conclure, concl, 3-sg-n, subjonctif-present, conclude, it, subjonctif present,conclure,,
conclure, concl, 1-pl, subjonctif-present, conclude, we, subjonctif present,conclure,,
conclure, concl, 2-pl, subjonctif-present, conclude, you all, subjonctif present,conclure,,
conclure, concl, 3-pl-m, subjonctif-present, conclude, they (m), subjonctif present,conclure,,
conclure, concl, 3-pl-f, subjonctif-present, conclude, they (f), subjonctif present,conclure,,
conduire, condui, 1-sg, conditionnel-present, drive, i, conditionnel present,conduire,,
conduire, condui, 2-sg, conditionnel-present, drive, you, conditionnel present,conduire,,
conduire, condui, 3-sg-m, conditionnel-present, drive, he, conditionnel present,conduire,,
conduire, condui, 3-sg-f, conditionnel-present, drive, she, conditionnel present,conduire,,
conduire, condui, 3-sg-n, conditionnel-present, drive, it, conditionnel present,conduire,,
conduire, condui, 1-pl, conditionnel-present, drive, we, conditionnel present,conduire,,
conduire, condui, 2-pl, conditionnel-present, drive, you all, conditionnel present,conduire,,
conduire, condui, 3-pl-m, conditionnel-present, drive, they (m), conditionnel present,conduire,,
conduire, condui, 3-pl-f, conditionnel-present, drive, they (f), conditionnel present,conduire,,
conduire, condui, 1-sg, imperatif-present, drive, i, imperatif present,conduire,,
conduire, condui, 2-sg, imperatif-present, drive, you, imperatif present,conduire,,
conduire, condui, 3-sg-m, imperatif-present, drive, he, imperatif present,conduire,,
conduire, condui, 3-sg-f, imperatif-present, drive, she, imperatif present,conduire,,
conduire, condui, 3-sg-n, imperatif-present, drive, it, imperatif present,conduire,,
conduire, condui, 1-sg, indicatif-futur, drive, i, indicatif futur,conduire,,
conduire, condui, 2-sg, indicatif-futur, drive, you, indicatif futur,conduire,,
conduire, condui, 3-sg-m, indicatif-futur, drive, he, indicatif futur,conduire,,
conduire, condui, 3-sg-f, indicatif-futur, drive, she, indicatif futur,conduire,,
conduire, condui, 3-sg-n, indicatif-futur, drive, it, indicatif futur,conduire,,
conduire, condui, 1-pl, indicatif-futur, drive, we, indicatif futur,conduire,,
conduire, condui, 2-pl, indicatif-futur, drive, you all, indicatif futur,conduire,,
conduire, condui, 3-pl-m, indicatif-futur, drive, they (m), indicatif futur,conduire,,
conduire, condui, 3-pl-f, indicatif-futur, drive, they (f), indicatif futur,conduire,,
conduire, condui, 1-sg, indicatif-imparfait, drive, i, indicatif imparfait,conduire,,
conduire, condui, 2-sg, indicatif-imparfait, drive, you, indicatif imparfait,conduire,,
conduire, condui, 3-sg-m, indicatif-imparfait, drive, he, indicatif imparfait,conduire,,
conduire, condui, 3-sg-f, indicatif-imparfait, drive, she, indicatif imparfait,conduire,,
conduire, condui, 3-sg-n, indicatif-imparfait, drive, it, indicatif imparfait,conduire,,
conduire, condui, 1-pl, indicatif-imparfait, drive, we, indicatif imparfait,conduire,,
conduire, condui, 2-pl, indicatif-imparfait, drive, you all, indicatif imparfait,conduire,,
conduire, condui, 3-pl-m, indicatif-imparfait, drive, they (m), indicatif imparfait,conduire,,
conduire, condui, 3-pl-f, indicatif-imparfait, drive, they (f), indicatif imparfait,conduire,,
conduire, condui, 1-sg, indicatif-passe-simple, drive, i, indicatif passe simple,conduire,,
conduire, condui, 2-sg, indicatif-passe-simple, drive, you, indicatif passe simple,conduire,,
conduire, condui, 3-sg-m, indicatif-passe-simple, drive, he, indicatif passe simple,conduire,,
conduire, condui, 3-sg-f, indicatif-passe-simple, drive, she, indicatif passe simple,conduire,,
conduire, condui, 3-sg-n, indicatif-passe-simple, drive, it, indicatif passe simple,conduire,,
conduire, condui, 1-pl, indicatif-passe-simple, drive, we, indicatif passe simple,conduire,,
conduire, condui, 2-pl, indicatif-passe-simple, drive, you all, indicatif passe simple,conduire,,
conduire, condui, 3-pl-m, indicatif-passe-simple, drive, they (m), indicatif passe simple,conduire,,
conduire, condui, 3-pl-f, indicatif-passe-simple, drive, they (f), indicatif passe simple,conduire,,
conduire, condui, 1-sg, indicatif-present, drive, i, indicatif present,conduire,,
conduire, condui, 2-sg, indicatif-present, drive, you, indicatif present,conduire,,
conduire, condui, 3-sg-m, indicatif-present, drive, he, indicatif present,conduire,,
conduire, condui, 3-sg-f, indicatif-present, drive, she, indicatif present,conduire,,
conduire, condui, 3-sg-n, indicatif-present, drive, it, indicatif present,conduire,,
conduire, condui, 1-pl, indicatif-present, drive, we, indicatif present,conduire,,
conduire, condui, 2-pl, indicatif-present, drive, you all, indicatif present,conduire,,
conduire, condui, 3-pl-m, indicatif-present, drive, they (m), indicatif present,conduire,,
conduire, condui, 3-pl-f, indicatif-present, drive, they (f), indicatif present,conduire,,
conduire, condui, 3-sg-m, participe-passe, drive, he, participe passe,conduire,,
conduire, condui, 3-pl-m, participe-passe, drive, they (m), participe passe,conduire,,
conduire, condui, 3-sg-f, participe-passe, drive, she, participe passe,conduire,,
conduire, condui, 3-pl-f, participe-passe, drive, they (f), participe passe,conduire,,
conduire, condui, 1-sg, subjonctif-imparfait, drive, i, subjonctif imparfait,conduire,,
conduire, condui, 2-sg, subjonctif-imparfait, drive, you, subjonctif imparfait,conduire,,
conduire, condui, 3-sg-m, subjonctif-imparfait, drive, he, subjonctif imparfait,conduire,,
conduire, condui, 3-sg-f, subjonctif-imparfait, drive, she, subjonctif imparfait,conduire,,
conduire, condui, 3-sg-n, subjonctif-imparfait, drive, it, subjonctif imparfait,conduire,,
conduire, condui, 1-pl, subjonctif-imparfait, drive, we, subjonctif imparfait,conduire,,
conduire, condui, 2-pl, subjonctif-imparfait, drive, you all, subjonctif imparfait,conduire,,
conduire, condui, 3-pl-m, subjonctif-imparfait, drive, they (m), subjonctif imparfait,conduire,,
conduire, condui, 3-pl-f, subjonctif-imparfait, drive, they (f), subjonctif imparfait,conduire,,
conduire, condui, 1-sg, subjonctif-present, drive, i, subjonctif present,conduire,,
conduire, condui, 2-sg, subjonctif-present, drive, you, subjonctif present,conduire,,
conduire, condui, 3-sg-m, subjonctif-present, drive, he, subjonctif present,conduire,,
conduire, condui, 3-sg-f, subjonctif-present, drive, she, subjonctif present,conduire,,
conduire, condui, 3-sg-n, subjonctif-present, drive, it, subjonctif present,conduire,,
conduire, condui, 1-pl, subjonctif-present, drive, we, subjonctif present,conduire,,
conduire, condui, 2-pl, subjonctif-present, drive, you all, subjonctif present,conduire,,
conduire, condui, 3-pl-m, subjonctif-present, drive, they (m), subjonctif present,conduire,,
conduire, condui, 3-pl-f, subjonctif-present, drive, they (f), subjonctif present,conduire,,
coudre, cou, 1-sg, conditionnel-present, sew, i, conditionnel present,coudre,,
coudre, cou, 2-sg, conditionnel-present, sew, you, conditionnel present,coudre,,
coudre, cou, 3-sg-m, conditionnel-present, sew, he, conditionnel present,coudre,,
coudre, cou, 3-sg-f, conditionnel-present, sew, she, conditionnel present,coudre,,
coudre, cou, 3-sg-n, conditionnel-present, sew, it, conditionnel present,coudre,,
coudre, cou, 1-pl, conditionnel-present, sew, we, conditionnel present,coudre,,
coudre, cou, 2-pl, conditionnel-present, sew, you all, conditionnel present,coudre,,
coudre, cou, 3-pl-m, conditionnel-present, sew, they (m), conditionnel present,coudre,,
coudre, cou, 3-pl-f, conditionnel-present, sew, they (f), conditionnel present,coudre,,
coudre, cou, 1-sg, imperatif-present, sew, i, imperatif present,coudre,,
coudre, cou, 2-sg, imperatif-present, sew, you, imperatif present,coudre,,
coudre, cou, 3-sg-m, imperatif-present, sew, he, imperatif present,coudre,,
coudre, cou, 3-sg-f, imperatif-present, sew, she, imperatif present,coudre,,
coudre, cou, 3-sg-n, imperatif-present, sew, it, imperatif present,coudre,,
coudre, cou, 1-sg, indicatif-futur, sew, i, indicatif futur,coudre,,
coudre, cou, 2-sg, indicatif-futur, sew, you, indicatif futur,coudre,,
coudre, cou, 3-sg-m, indicatif-futur, sew, he, indicatif futur,coudre,,
coudre, cou, 3-sg-f, indicatif-futur, sew, she, indicatif futur,coudre,,
coudre, cou, 3-sg-n, indicatif-futur, sew, it, indicatif futur,coudre,,
coudre, cou, 1-pl, indicatif-futur, sew, we, indicatif futur,coudre,,
coudre, cou, 2-pl, indicatif-futur, sew, you all, indicatif futur,coudre,,
coudre, cou, 3-pl-m, indicatif-futur, sew, they (m), indicatif futur,coudre,,
coudre, cou, 3-pl-f, indicatif-futur, sew, they (f), indicatif futur,coudre,,
coudre, cou, 1-sg, indicatif-imparfait, sew, i, indicatif imparfait,coudre,,
coudre, cou, 2-sg, indicatif-imparfait, sew, you, indicatif imparfait,coudre,,
coudre, cou, 3-sg-m, indicatif-imparfait, sew, he, indicatif imparfait,coudre,,
coudre, cou, 3-sg-f, indicatif-imparfait, sew, she, indicatif imparfait,coudre,,
coudre, cou, 3-sg-n, indicatif-imparfait, sew, it, indicatif imparfait,coudre,,
coudre, cou, 1-pl, indicatif-imparfait, sew, we, indicatif imparfait,coudre,,
coudre, cou, 2-pl, indicatif-imparfait, sew, you all, indicatif imparfait,coudre,,
coudre, cou, 3-pl-m, indicatif-imparfait, sew, they (m), indicatif imparfait,coudre,,
coudre, cou, 3-pl-f, indicatif-imparfait, sew, they (f), indicatif imparfait,coudre,,
coudre, cou, 1-sg, indicatif-passe-simple, sew, i, indicatif passe simple,coudre,,
coudre, cou, 2-sg, indicatif-passe-simple, sew, you, indicatif passe simple,coudre,,
coudre, cou, 3-sg-m, indicatif-passe-simple, sew, he, indicatif passe simple,coudre,,
coudre, cou, 3-sg-f, indicatif-passe-simple, sew, she, indicatif passe simple,coudre,,
coudre, cou, 3-sg-n, indicatif-passe-simple, sew, it, indicatif passe simple,coudre,,
coudre, cou, 1-pl, indicatif-passe-simple, sew, we, indicatif passe simple,coudre,,
coudre, cou, 2-pl, indicatif-passe-simple, sew, you all, indicatif passe simple,coudre,,
coudre, cou, 3-pl-m, indicatif-passe-simple, sew, they (m), indicatif passe simple,coudre,,
coudre, cou, 3-pl-f, indicatif-passe-simple, sew, they (f), indicatif passe simple,coudre,,
coudre, cou, 1-sg, indicatif-present, sew, i, indicatif present,coudre,,
coudre, cou, 2-sg, indicatif-present, sew, you, indicatif present,coudre,,
coudre, cou, 3-sg-m, indicatif-present, sew, he, indicatif present,coudre,,
coudre, cou, 3-sg-f, indicatif-present, sew, she, indicatif present,coudre,,
coudre, cou, 3-sg-n, indicatif-present, sew, it, indicatif present,coudre,,
coudre, cou, 1-pl, indicatif-present, sew, we, indicatif present,coudre,,
coudre, cou, 2-pl, indicatif-present, sew, you all, indicatif present,coudre,,
coudre, cou, 3-pl-m, indicatif-present, sew, they (m), indicatif present,coudre,,
coudre, cou, 3-pl-f, indicatif-present, sew, they (f), indicatif present,coudre,,
coudre, cou, 3-sg-m, participe-passe, sew, he, participe passe,coudre,,
coudre, cou, 3-pl-m, participe-passe, sew, they (m), participe passe,coudre,,
coudre, cou, 3-sg-f, participe-passe, sew, she, participe passe,coudre,,
coudre, cou, 3-pl-f, participe-passe, sew, they (f), participe passe,coudre,,
coudre, cou, 1-sg, subjonctif-imparfait, sew, i, subjonctif imparfait,coudre,,
coudre, cou, 2-sg, subjonctif-imparfait, sew, you, subjonctif imparfait,coudre,,
coudre, cou, 3-sg-m, subjonctif-imparfait, sew, he, subjonctif imparfait,coudre,,
coudre, cou, 3-sg-f, subjonctif-imparfait, sew, she, subjonctif imparfait,coudre,,
coudre, cou, 3-sg-n, subjonctif-imparfait, sew, it, subjonctif imparfait,coudre,,
